,name,price,address,lease_type,house_type,lease_start_year,district_code,near_stat,near_stat_mins,bdrm,bath,sqm,sqft
0,2 Bed Condo in The Centris,4000.0,71 Jurong West Ctrl 3 ,Lease_99,Condominium,2009,22,Boon Lay,1,2,2,91.04,980
1,5 Bed Condo in Wilmer House,7500.0,1 St. Thomas Walk ,Unknown,Unknown,0,9,Somerset,7,5,3,233.84,2517
2,4 Bed House on Teacher's Housing Estate,8500.0, Li Po Ave ,Lease_99,Terraced_House,1970,26,,-1,4,3,302.12,3252
3,2 Bed Condo in The Scotts Tower,6900.0,38 Scotts Rd ,Unknown,Condominium,2016,9,Newton,5,2,2,78.04,840
4,1 Bed Condo in The Sail @ Marina Bay,4500.0,2 Marina Boulevard ,Lease_99,Condominium,2008,1,Downtown,3,1,1,61.04,657
5,4 Bed Condo in Yong An Park,11988.0,327 River Valley Rd ,Freehold,Condominium,1986,9,,-1,4,5,297.29,3200
6,4 Room HDB in 89 Tanglin Halt Road,4000.0,None,Lease_99,HDB,2008,0,Commonwealth,2,3,2,90.02,969
7,1 Bed Condo in Liiv Residences,3000.0,339 Pasir Panjang Rd ,Freehold,HDB,2017,5,,-1,1,1,36.98,398
8,1 Bed Condo in Park Colonial,3300.0,8 Woodleigh Lane ,Lease_99,Condominium,2022,13,Woodleigh,2,1,1,43.01,463
9,2 Bed Condo in The Peak @ Cairnhill II,5000.0,61 Cairnhill Circle ,Freehold,Condominium,2015,9,Newton,6,2,2,77.02,829
10,3 Bed Condo in 3 Orchard By-The-Park,15000.0,3 Orchard Boulevard ,Freehold,Condominium,2017,10,,-1,3,3,172.99,1862
11,Studio Condo in Eight Courtyards,2500.0,12 Canberra Dr ,Lease_99,Condominium,2014,27,,-1,,1,27.87,300
12,1 Bed Condo in Scotts Square,5500.0,8 Scotts Rd ,Freehold,Condominium,2010,9,Orchard,2,1,1,57.97,624
13,2 Bed Condo in Emerald Garden,4300.0,33 Club St ,Lease_99,Condominium,1998,1,Telok Ayer,3,2,2,86.96,936
14,4 Bed Condo in The Imperial,19000.0,5 Jln Rumbia ,Freehold,Condominium,2006,9,,-1,4,4,328.04,3531
15,4 Bed Condo in Thomson Grand,10500.0,43 Sin Ming Walk ,Lease_99,Condominium,2015,20,,-1,4,5,493.97,5317
16,2 Bed Condo in Parc Botannia,3600.0,12 Fernvale St ,Lease_99,Condominium,2022,28,Thanggam,1,2,2,61.97,667
17,5 Room HDB in 296 Punggol Central,3200.0,None,Lease_99,HDB,2003,0,Cove,3,3,2,,1184
18,1 Bed House on Race Course Road/Owen Road Conservation Area,2999.0, Race Course Rd ,Unknown,Unknown,0,8,Farrer Park,7,1,1,130.06,1400
19,3 Bed Condo in Regentville,3888.0,6 Hougang St 92 ,Lease_99,Condominium,2000,19,,-1,3,2,91.04,980
20,2 Bed Condo in The Hillford,3200.0,178 Jln Jurong Kechil ,Unknown,Condominium,2017,21,,-1,2,1,47.01,506
21,5 Bed House on Greenwood Mews,10000.0, Greenwood Ave ,Unknown,Townhouse,2016,11,,-1,5,5,294.97,3175
22,3 Bed Condo in Lake Grande,4800.0,6 Jurong Lake Link ,Lease_99,Condominium,2020,22,Lakeside,5,3,2,83.98,904
23,1 Bed Condo in Beacon Heights,3200.0,8 Mar Thoma Rd ,Lease_99,Unknown,0,12,,-1,1,1,61.97,667
24,1 Bed Condo in Park Colonial,3400.0,8 Woodleigh Lane ,Lease_99,Unknown,0,13,Woodleigh,2,1,1,43.01,463
25,3 Bed Condo in Wallich Residence,12500.0,3 Wallich St ,Lease_99,Condominium,2022,2,Tanjong Pagar,1,3,2,121.98,1313
